text,target
ការសម្តែងរបស់តារាចម្រៀងម្នាក់នេះគួរឱ្យចាប់អារម្មណ៍ខ្លាំង,Positive
អតិថិជនចូលចិត្តជីធម្មជាតិជាងជីគីមី,Positive
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Negative
ផលិតផលមិនទាន់គុណភាព,Negative
អាចផ្គត់ផ្គង់សាច់កណ្ដុរ៧០ទៅ១០០គីឡូក្រាម,Positive
លោកបានរៀនបទពិសោធន៍ចិញ្ចឹមកណ្ដុរពីថៃ,Neutral
ការបូមទឹកមិនអាចជួយស្រោចស្រង់បាន,Negative
ស្ថាប័ន Chatham House មានមូលដ្ឋាននៅអង់គ្លេស,Neutral
បើគ្មានការទប់ស្កាត់កសិករអាចបាត់បង់មុខរបរ,Negative
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Negative
ការសម្តែងភ្លេងប្រពៃណីនេះពិរោះ រក្សាបាននូវវប្បធម៌,Positive
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive
ការគ្រប់គ្រងតម្លៃជួយដល់ប្រព័ន្ធស្បៀងអាហារ,Positive
សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative
មានចេកច្រើនប្រភេទលក់,Neutral
មានអំបិលនិងម្រេចកំពត,Neutral
ក្រូចបែងចែកជាបីប្រភេទ,Neutral
ជនរងគ្រោះជាភ្ញៀវទេសចរណ៍មកដើរកម្សាន្ត,Negative
សេវាកម្មធនាគារមានភាពយឺតយ៉ាវ រង់ចាំយូរ,Negative
ហាងកាត់សក់នេះកាត់មិនស្អាត តម្លៃថ្លៃទៀត,Negative
ការបួងសួងនេះពាក់ព័ន្ធនឹងព្រំដែនកម្ពុជាថៃ,Neutral
ឆ្នាំនេះមិនសូវមានឈ្មួញចុះទិញ,Negative
ទំនប់សាលាតាអនភ្ជាប់ពីឃុំព្រែកហ្លួងទៅឃុំពាមឯក,Neutral
ឧបករណ៍បាញ់ថ្នាំសម្លាប់សត្វល្អិតនេះប្រើការមិនបានល្អ,Negative
បទចម្រៀងនេះមិនមានអារម្មណ៍។,Negative
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive
ទិន្នផលបន្លែមានតម្លៃល្អ,Positive
សម្ដេចតេជោបានប្រាប់កងកម្លាំងនិងពលរដ្ឋអំពីស្ថានការណ៍តានតឹងតាមព្រំដែន,Negative
ការបម្រើអតិថិជនយឺតខ្លាំង។,Negative
ល្អមើលមែន Rate អោយ 9/10 តែអត់យល់ហេតុអីបានគេយំ? ខ្ញុំមើលអត់យំផង,Positive
ការសម្តែងនៅលើឆាកមិនអាចទាញយកភ្នែកចេញបាន។,Positive
ការរាយការណ៍ការពិតជួយការទូត,Positive
ដំណាំពោតជុំទី៣ស្ទើរតែបាត់បង់,Negative
សណ្ឋាគារនេះមានសេវាកម្មល្អណាស់,Positive
កីឡាជាទូតនាំមកសាមគ្គីភាព,Positive
ផ្លូវមានទទឹង៦ម៉ែត្រនិងកម្រាស់១៥០ម៉ែត្រ,Neutral
ការដាំម្រះត្រូវការការគ្រប់គ្រងល្អ,Neutral
សម្ដេចបានលុបចោលកម្មវិធីការងារផ្សេងៗ,Neutral
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
ក្នុងមួយថ្ងៃអាចរកផ្លែ៣ទៅ៥គីឡូក្រាម,Neutral
សេវាកម្មធានារ៉ាប់រងល្អណាស់ មានភាពងាយស្រួល,Positive
មានតម្រូវការកម្លាំងពលកម្មជាបន្តបន្ទាប់,Neutral
ទីផ្សារសាច់ជ្រូកនៅតែដំណើរការធម្មតា,Neutral
មិនពេញចិត្តទេតើអ្វីកើតឡើង?,Negative
ការលក់ចេញបានត្រឹម៣៥០តោន,Negative
ការថែរក្សាកូនមាន់ត្រូវដាក់អំពូលកម្ដៅ,Neutral
ខ្ទឹមត្រូវបានដាក់ថង់ថ្លឹង៥គីឡូក្រាម,Neutral
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
មនុស្ស១៥នាក់​រង​របួស​នៅ Odesa,Negative
សេវាកម្មជួសជុលផ្ទះមិនល្អ ជាងធ្វើការមិនស្អាត,Negative
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Negative
ផលិតផលមធ្យមៗគ្មានអ្វីពិសេស,Neutral
កម្ពុជាបានកំណត់បន្ទាត់ក្រហមសម្រាប់ការឆ្លើយតប,Negative
បទអីនិងដឹងប្រាប់ផង,Negative
នគរបាលបានអនុវត្តតាមបទបញ្ជារបស់ថ្នាក់ដឹកនាំ,Neutral
របាយការណ៍នឹងបង្ហាញក្នុងកិច្ចប្រជុំអាស៊ាន,Neutral
ខ្ញុំមិនបានទទួលទំនិញតាមពេលកំណត់។,Negative
កម្ពុជាដាំដុះស្វាយចន្ទីលើផ្ទៃដី៦៣ម៉ឺនហិកតា,Neutral
កូនមាន់ត្រូវចាក់វ៉ាក់សាំងតាមអាយុ,Neutral
កីឡាករនិងកីឡាការិនីចូលរួមច្រើនជាងឆ្នាំមុន,Positive
កសិផលនាំចូលអាចមានសារធាតុគីមី,Negative
អ្នកចម្ការត្រូវដាក់ជីគីមីដើម្បីលក់បាន,Neutral
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
ប្រតិបត្តិការធ្វើឡើងក្រោមការណែនាំអភិបាលខណ្ឌ,Neutral
ក្នុងមួយខែអាចរកចំណូល៥០០ដុល្លារ,Positive
លោកមានឱកាសជួបថ្នាក់ដឹកនាំពិភពលោក,Positive
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
ក្រុម AOT ដឹកនាំដោយម៉ាឡេស៊ី,Neutral
ខ្ញុំចូលចិត្តម៉ាកនេះជាពិសេស។,Positive
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative
ចម្ការដូងផ្គត់ផ្គង់តែទីផ្សារក្នុងស្រុក,Neutral
ក្រសួងកសិកម្មបានបញ្ជាក់អំពីស្ថានភាពតម្លៃជ្រូករស់,Neutral
គ្រាន់ថាគេល្អជាងបងហ៎? ម៉េចបានទឹកភ្នែកដោយសារគេបែបនឹង,Negative
ផលិតផលមធ្យមៗគ្មានអ្វីពិសេស,Neutral
សណ្ឋាគារនេះមានសេវាកម្មល្អណាស់,Positive
គម្រោងនេះបង្ហាញពីការប្តេជ្ញាចិត្តរបស់អាជ្ញាធរមូលដ្ឋាន,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
សម្លៀកបំពាក់តម្លៃទាបធ្លាប់ពេញនិយម,Neutral
ហ្វីលីពីន​ជា​ប្រទេស​ខ្លាំង​ផ្នែក​ប្រដាល់​សកល​កម្រិត​ពិភព​លោក,Positive
ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive
ខ្ញុំបានទទួលទំនិញយ៉ាងឆាប់រហ័ស។,Positive
ការដាំតាសក់ប្រើជីធម្មជាតិសុទ្ធសាធ,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Negative
រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative
កៅអីការិយាល័យនេះផាសុខណាស់ គុណភាពល្អ,Positive
ជនសង្ស័យស្នាក់នៅផ្ទះជួល,Neutral
អ្នកដឹកជញ្ជូនឥវ៉ាន់មកយឺតពេល ហើយទំនិញខូចខាតទៀត,Negative
ភាពយន្តនេះធ្វើឱ្យខ្ញុំអស់សំណើច សម្តែងបានល្អណាស់,Positive
ខ្ទឹមជារុក្ខជាតិមានក្លិនឈ្ងុយ,Neutral
ម៉ាកនេះមិនគួរជឿទុកចិត្ត។,Negative
សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative
សម្ដេចបានសុំការយោគយល់ពីភ្ញៀវជាតិនិងអន្តរជាតិ,Neutral
ដំបូងគាត់ចិញ្ចឹមទាំងមាន់សាច់និងភ្ញាស់យកកូនលក់,Neutral
ស្រុករុក្ខគិរីស្ថិតនៅខេត្តបាត់ដំបង,Neutral
ហ្វីលីពីន​ជា​ប្រទេស​ខ្លាំង​ផ្នែក​ប្រដាល់​សកល​កម្រិត​ពិភព​លោក,Positive
ការសម្តែងរបស់តារាសម្តែងគួរឱ្យសរសើរ។,Positive
សហរដ្ឋអាមេរិកគាំទ្រផ្កាយរណប,Neutral
ទឹកសន្សើមស្អិតបន្ថយទិន្នផល,Negative
ក្នុងមួយខែអាចរកចំណូល៥០០ដុល្លារ,Positive
ការសម្តែងរបស់តារាសម្តែងគ្មានគុណភាព។,Negative
ផលិតផលមិនទាន់គុណភាព,Positive
មានអំបិលនិងម្រេចកំពត,Neutral
គ្មានអ្នកទិញនៅតម្លៃទាប,Negative
ពេលថ្មីៗនេះក្រូចអូរខ្ជាយល្បី,Positive
រឿងថ្មីនេះល្អឥតខ្ចោះ។,Positive
ផលិតផលមិនទាន់គុណភាព,Positive
អ្នក​គាំទ្រ​ថាថៃ​មិន​មាន​ជើង​ឯក​ពិភព​លោក,Negative
ផលិតផលមិនទាន់គុណភាព,Positive
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
ហ្វីលីពីន​ជា​ប្រទេស​ខ្លាំង​ផ្នែក​ប្រដាល់​សកល​កម្រិត​ពិភព​លោក,Positive
សម្ដេចផ្តាំផ្ញើការសាកសួរសុខទុក្ខ,Positive
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Negative
អំបិលលេខ១លក់បានត្រឹម១០០០០រៀល,Negative
តន្ត្រីកម្សាន្តនៅក្លឹបនេះពិរោះណាស់ បទចម្រៀងទាន់សម័យ,Positive
បេសកជនទៅកាន់កម្ពុជានិងថៃ,Neutral
ខ្ញុំមានបទពិសោធន៍ល្អជាមួយសេវាកម្មនេះ។,Positive
អាជ្ញាធរត្រូវជួយប្រជាជនដែលភៀសសឹក,Positive
កង់ថ្មីនេះប្រើការបានល្អណាស់,Positive
បើចង់ផ្សព្វផ្សាយអោយម្ចាស់ដើមច្រៀងល្អជាង ព្រោះមុនហ្នឹងល្បីរួចទៅហើយ តែពេលដូរអ្នកចម្រៀងចឹង ល្បីថែមទៀតតែគេរិះគន់វិញ,Negative
គម្រោងផ្លូវនេះជាគម្រោងមូលនិធិឃុំលាយបូរឆ្នាំ២០២៥,Neutral
កង់ថ្មីនេះប្រើការបានល្អណាស់ តម្លៃសមរម្យ,Positive
សម្ដេចបានសុំការយោគយល់ពីភ្ញៀវជាតិនិងអន្តរជាតិ,Neutral
សម្ដេចមានភារកិច្ចទាក់ទងនឹងការពារជាតិ,Neutral
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Negative
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Negative
ការបម្រើអតិថិជននៅទីនេះគឺល្អឥតខ្ចោះ។,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
គ្រាន់ថាគេល្អជាងបងហ៎? ម៉េចបានទឹកភ្នែកដោយសារគេបែបនឹង,Negative
ជនសង្ស័យមានអាយុ៣០ឆ្នាំ,Neutral
Tech Startup ជាធុរកិច្ចបច្ចេកវិទ្យា,Neutral
ក្រុមហ៊ុនសាងសង់ត្រូវអនុវត្តតាមលក្ខណៈបច្ចេកទេស,Neutral
